Location,Job_Listing
Solano County,CORRECTIONAL SUPERVISING COOK (CORRECTIONAL FACILITY)
Riverside County,MECHANICAL AND TECHNICAL OCCUPATIONAL TRAINEE
Marin County,ACCOUNTANT I (SPECIALIST)
Yolo County,ACCOUNTING ADMINISTRATOR I (SUPERVISOR)
San Francisco County,ACCOUNTING OFFICER (SPECIALIST)
Sacramento County,ACCOUNTING OFFICER (SPECIALIST)
Alameda County,ADOPTIONS SPECIALIST
Sacramento County,ASSOCIATE GOVERNMENTAL PROGRAM ANALYST
San Francisco County,ASSOCIATE GOVERNMENTAL PROGRAM ANALYST
Contra Costa County,ASSOCIATE GOVERNMENTAL PROGRAM ANALYST
Yolo County,ASSOCIATE GOVERNMENTAL PROGRAM ANALYST
Sacramento County,ASSOCIATE MANAGEMENT AUDITOR
Sacramento County,ASSOCIATE PERSONNEL ANALYST
Sacramento County,ATTORNEY
Sacramento County,ATTORNEY III
United States,ATTORNEY III
Sacramento County,ATTORNEY IV
Marin County,AUTOMOBILE MECHANIC (CORRECTIONAL FACILITIES)
Los Angeles County,BUSINESS SERVICE OFFICER I (SUPERVISOR)
Sacramento County,C. E. A.
Orange County,C. E. A.
Tuolumne County,CALTRANS EQUIPMENT OPERATOR II
Calaveras County,CALTRANS EQUIPMENT OPERATOR II
Orange County,CALTRANS EQUIPMENT OPERATOR II
Fresno County,CALTRANS EQUIPMENT OPERATOR II
Inyo County,CALTRANS EQUIPMENT OPERATOR II
Alpine County,CALTRANS EQUIPMENT OPERATOR II
Amador County,CALTRANS EQUIPMENT OPERATOR II
Tuolumne County,CALTRANS HIGHWAY MAINTENANCE LEADWORKER
Alpine County,CALTRANS HIGHWAY MAINTENANCE WORKER
Los Angeles County,CALTRANS LANDSCAPE MAINTENANCE LEADWORKER
Kings County,"CAPTAIN, ADULT INSTITUTION"
Napa County,CERTIFIED NURSING ASSISTANT
Kern County,CERTIFIED NURSING ASSISTANT
Madera County,"CHIEF PHYSICIAN AND SURGEON, CORRECTIONAL FACILITY"
Kern County,"CHIEF PSYCHOLOGIST, CORRECTIONAL FACILITY"
Napa County,COMMUNICATIONS SUPERVISOR
Sacramento County,COMMUNITY PROGRAM SPECIALIST III
Butte County,CONSERVATIONIST I
Merced County,COOK SPECIALIST I
Sacramento County,CORRECTIONAL COUNSELOR II (SPECIALIST)
San Bernardino County,CORRECTIONAL SUPERVISING COOK (CORRECTIONAL FACILITY)
San Diego County,CRIME ANALYST II
Imperial County,CUSTODIAN I
Tuolumne County,CUSTODIAN II
Marin County,"DENTAL ASSISTANT, CORRECTIONAL FACILITY"
United States,DEPUTY ATTORNEY GENERAL IV
Napa County,DIRECT CONSTRUCTION SUPERVISOR I
Orange County,DISABILITY INSURANCE PROGRAM REPRESENTATIVE
Sonoma County,DISABILITY INSURANCE PROGRAM REPRESENTATIVE
Sacramento County,"EMERGENCY MANAGEMENT COORDINATOR/INSTRUCTOR I, OFFICE OF EMERGENCY SERVICES"
Sacramento County,"EMERGENCY MANAGEMENT COORDINATOR/INSTRUCTOR II, OFFICE OF EMERGENCY SERVICES"
Sacramento County,"EMERGENCY SERVICES COORDINATOR, OFFICE OF EMERGENCY SERVICES"
Los Angeles County,EMPLOYMENT PROGRAM REPRESENTATIVE
Los Angeles County,"ENGINEER, WATER RESOURCES"
Sacramento County,ENVIRONMENTAL PROGRAM MANAGER I (SUPERVISORY)
Yuba County,ENVIRONMENTAL SCIENTIST
Sacramento County,ENVIRONMENTAL SCIENTIST
Sacramento County,EXECUTIVE ASSISTANT
Sacramento County,FINANCIAL ACCOUNTANT I
Amador County,FISH AND WILDLIFE SEASONAL AID
Calaveras County,FISH AND WILDLIFE SEASONAL AID
San Joaquin County,FISH AND WILDLIFE SEASONAL AID
Humboldt County,FORESTRY TECHNICIAN
San Diego County,GROUNDSKEEPER
Contra Costa County,HEALTH FACILITIES EVALUATOR II (SUPERVISOR)
Riverside County,HEALTH PROGRAM MANAGER III
Solano County,HEALTH PROGRAM MANAGER III
Marin County,HEALTH RECORD TECHNICIAN I
San Bernardino County,HEALTH SERVICES SPECIALIST (SAFETY)
Kings County,HEAVY EQUIPMENT MECHANIC (CORRECTIONAL FACILITY)
San Bernardino County,"HEAVY EQUIPMENT MECHANIC APPRENTICE, CALTRANS"
Sacramento County,INFORMATION TECHNOLOGY SPECIALIST I
Yolo County,INFORMATION TECHNOLOGY SPECIALIST II
Sacramento County,PROGRAM TECHNICIAN II
San Luis Obispo County,REGISTERED NURSE (SAFETY)
Butte County,SENIOR ENGINEER WATER RESOURCES
Sacramento County,STAFF SERVICES ANALYST
Sacramento County,STAFF SERVICES MANAGER I
Sacramento County,STAFF SERVICES MANAGER II (SUPERVISORY)
Sacramento County,SUPERVISING ENGINEER WATER RESOURCES
Sacramento County,ACCOUNTANT TRAINEE
Tulare County,AGRICULTURAL TECHNICIAN I (SEASONAL)
Sacramento County,ASSOCIATE ACCOUNTING ANALYST
Sacramento County,ASSOCIATE ENERGY SPECIALIST (TECHNOLOGY EVALUATION AND DEVELOPMENT)
Fresno County,ASSOCIATE GOVERNMENTAL PROGRAM ANALYST
Los Angeles County,ASSOCIATE GOVERNMENTAL PROGRAM ANALYST
San Diego County,ASSOCIATE GOVERNMENTAL PROGRAM ANALYST
Alameda County,ASSOCIATE GOVERNMENTAL PROGRAM ANALYST
Sacramento County,"ASSOCIATE OPERATIONS SPECIALIST, FRANCHISE TAX BOARD"
Sacramento County,"ATTORNEY, ASSISTANT CHIEF COUNSEL"
Santa Clara County,AUTOMOTIVE TECHNICIAN II
Solano County,BUSINESS SERVICE OFFICER I (SUPERVISOR)
Fresno County,CALTRANS ELECTRICIAN I
Orange County,CALTRANS EQUIPMENT OPERATOR I
San Bernardino County,CALTRANS EQUIPMENT OPERATOR II
San Joaquin County,CALTRANS HIGHWAY MAINTENANCE LEADWORKER
Yuba County,CALTRANS LANDSCAPE SPECIALIST
Shasta County,CALTRANS MAINTENANCE SUPERVISOR
Napa County,CARPENTER I
Solano County,CARPENTER II (CORRECTIONAL FACILITY)
Solano County,CASE RECORDS TECHNICIAN
San Luis Obispo County,CERTIFIED NURSING ASSISTANT
San Bernardino County,COMMERCIAL VEHICLE INSPECTION SPECIALIST
Kern County,CORRECTIONAL COUNSELOR II (SPECIALIST)
Monterey County,CORRECTIONAL OFFICER
Riverside County,CORRECTIONAL SERGEANT
Lassen County,CORRECTIONAL SUPERVISING COOK (CORRECTIONAL FACILITY)
Riverside County,CRIME ANALYST I
San Diego County,CUSTODIAN I
United States,DEPUTY ATTORNEY GENERAL
United States,DEPUTY ATTORNEY GENERAL III
Alameda County,"DISPATCH-CLERK SUPERVISOR, CALTRANS"
Orange County,"DISTRICT ADMINISTRATOR, ALCOHO"
Sacramento County,"DISTRICT SALES REPRESENTATIVE, CA STATE LOTTERY"
Sacramento County,EDUCATION FISCAL SERVICES CONSULTANT
San Diego County,ENVIRONMENTAL SCIENTIST
Los Angeles County,ENVIRONMENTAL SCIENTIST
United States,ENVIRONMENTAL SCIENTIST
San Francisco County,EXECUTIVE ASSISTANT
Los Angeles County,FOOD ADMINISTRATOR I (CORRECTIONAL FACILITY)
Los Angeles County,HEALTH FACILITIES EVALUATOR MANAGER I
San Diego County,HEALTH PROGRAM SPECIALIST I
Sacramento County,HEALTH PROGRAM SPECIALIST I
Contra Costa County,HEALTH PROGRAM SPECIALIST I
San Luis Obispo County,HEALTH PROGRAM SPECIALIST I
United States,HEALTH PROGRAM SPECIALIST II
Amador County,HEALTH RECORD TECHNICIAN I
Kings County,"INDUSTRIAL SUPERVISOR, PRISON INDUSTRIES (MAINTENANCE AND REPAIR)"
Sacramento County,INFORMATION OFFICER I (SPECIALIST)
Sacramento County,ASSOCIATE PROPERTY APPRAISER (BOARD OF EQUALIZATION)
Sacramento County,HEALTH PROGRAM SPECIALIST II
Kern County,JEWISH CHAPLAIN
Sacramento County,OFFICE TECHNICIAN (TYPING)
Sacramento County,SENIOR ACCOUNTING OFFICER (SPECIALIST)
Sacramento County,ACCOUNTANT I (SPECIALIST)
Imperial County,ACCOUNTANT TRAINEE
Imperial County,ACCOUNTING OFFICER (SPECIALIST)
San Diego County,ADMINISTRATIVE ASSISTANT I
Monterey County,ADMINISTRATIVE ASSISTANT I
Sacramento County,ADMINISTRATOR III FRANCHISE TAX BOARD
Riverside County,AIR RESOURCES ENGINEER                                 (MAND)
Los Angeles County,ASSISTANT COORDINATOR OF NURSING SERVICES
Sacramento County,ASSOCIATE BUSINESS MANAGEMENT ANALYST
San Mateo County,ASSOCIATE GOVERNMENTAL PROGRAM ANALYST
United States,ASSOCIATE GOVERNMENTAL PROGRAM ANALYST
Sacramento County,ASSOCIATE MECHANICAL ENGINEER
Fresno County,"ASSOCIATE TAX AUDITOR , EMPLOYMENT DEVELOPMENT DEPARTMENT"
Sacramento County,ASSOCIATE TRANSPORTATION PLANNER
Fresno County,ATTORNEY III
United States,ATTORNEY IV
Yolo County,ATTORNEY IV
San Bernardino County,AUTOMOBILE MECHANIC (CORRECTIONAL FACILITIES)
Riverside County,AUTOMOTIVE EQUIPMENT OPERATOR I                        (MAND)
San Bernardino County,AUTOMOTIVE TECHNICIAN II
Tulare County,BEHAVIOR SPECIALIST II
Tulare County,CALTRANS EQUIPMENT OPERATOR II
Nevada County,CALTRANS HEAVY EQUIPMENT MECHANIC
Inyo County,CALTRANS HIGHWAY MAINTENANCE WORKER
Mono County,CALTRANS HIGHWAY MAINTENANCE WORKER
Fresno County,CALTRANS HIGHWAY MAINTENANCE WORKER
Tehama County,CALTRANS LANDSCAPE MAINTENANCE WORKER
Napa County,"CHIEF, FIREFIGHTER/SECURITY OFFICER "
Riverside County,CONSERVATIONIST I
Lassen County,CORRECTIONAL COUNSELOR II (SPECIALIST)
Imperial County,"CORRECTIONAL PLANT SUPERVISOR, DEPT OF CORRECTIONS"
Solano County,CUSTODIAN I
Sacramento County,"CUSTOMER SERVICE SUPERVISOR, FRANCHISE TAX BOARD"
Merced County,"ENGINEER, WATER RESOURCES"
Yolo County,ENVIRONMENTAL SCIENTIST
